"Sample","S100A12","HMGB1","HMGB1.1","HMGB1.2","S100A8","HMGB1.3","HMGB1.4","HMGB1.5","HMGB1.6","Label"
"GSM1692413",11.15439685,3.622806792,5.476655871,7.654370046,12.7348962,6.982284916,7.656441821,7.202416546,2.565875958,"Sepsis"
"GSM1692420",11.33113065,3.535798951,4.340762635,7.76359383,12.75216112,7.48150651,8.163935296,7.178358049,2.328295744,"Sepsis"
"GSM1692427",11.56446055,3.642518305,5.836749908,7.062659957,12.54127571,6.987028511,7.314042355,6.862823927,2.658158726,"Sepsis"
"GSM1692429",12.07101471,4.618742931,7.352911541,7.421298564,12.86516288,8.225807608,8.016148615,8.299612268,3.349460469,"Sepsis"
"GSM1692430",11.65708687,5.062029708,6.981538848,7.922041874,13.04758621,8.085061673,8.324684233,8.036443393,4.137789562,"Sepsis"
"GSM1692443",11.59558951,2.640618344,3.886083953,6.474753443,12.22642999,5.23115485,6.450182297,5.384012378,2.408120437,"Sepsis"
"GSM1692452",12.45102125,4.014662447,6.823722836,7.372556968,12.87615381,7.789577956,7.817396134,7.434257346,2.672064603,"Sepsis"
"GSM1692455",11.80768803,3.697404839,5.487227252,7.546703537,12.77306652,7.080783534,7.796807315,7.213401956,2.536548902,"Sepsis"
"GSM1692482",12.16486897,5.332061442,5.59763472,8.650880589,13.14204372,7.703190262,8.442455269,7.972046329,3.155691766,"Sepsis"
"GSM1692485",12.19808551,4.707575487,7.057667818,7.436403531,12.9781346,8.155546943,7.948504035,7.744796774,3.180532443,"Sepsis"
"GSM1692487",12.22280228,5.38700738,6.199344443,8.084565854,13.01063811,8.003142027,8.379106345,7.909146635,3.741347557,"Sepsis"
"GSM1692489",12.05295145,3.466709004,4.92850546,7.8376513,12.89863214,6.827698138,8.015075597,7.199757885,2.790537863,"Sepsis"
"GSM1692492",10.8918641,3.039311448,5.410296837,7.369151885,12.45856783,6.79303661,7.309826622,6.949945508,3.451195903,"Sepsis"
"GSM1692498",9.851469578,2.674191874,4.658938929,7.031476284,11.67951966,6.624593247,7.261026025,6.853730582,2.619492393,"Sepsis"
